solvable;conf;price;weight;time;complexity
True;1110;6542;158;2.1480998839251697e-05;12
True;1000;1101;23;7.3529954534024e-06;2
True;1011;4756;166;2.2902997443452477e-05;13
True;0100;2247;18;6.872003723401576e-06;2
False;1001;1712;79;8.877999789547175e-06;4
True;1001;2863;358;2.252299600513652e-05;11
True;1001;3700;17;1.531999441795051e-05;6
True;0000;0;0;4.879002517554909e-06;1
False;1011;4628;329;2.6666995836421847e-05;15
True;1101;6067;285;2.5824003387242556e-05;15
False;1100;4279;139;1.8053004168905318e-05;8
True;1011;2679;123;2.8975002351216972e-05;13
False;1001;3176;108;9.864001185633242e-06;4
False;0011;3162;204;1.675500243436545e-05;8
False;0001;2265;127;1.0823001503013074e-05;4
True;0111;5239;280;2.508000034140423e-05;12
False;1000;2411;194;1.4105993614066392e-05;5
True;1110;6225;224;2.3243999748956412e-05;12
True;1001;4050;223;1.938900095410645e-05;8
True;1001;701;65;9.822004358284175e-06;4
False;0011;3649;282;2.253000275231898e-05;11
True;0101;2896;247;2.198699803557247e-05;10
False;0101;2488;112;9.142000635620207e-06;4
True;0111;2961;428;2.8358001145534217e-05;15
True;1101;6125;150;2.0709994714707136e-05;11
False;0010;1570;177;1.511199661763385e-05;5
True;1100;2331;295;2.0633000531233847e-05;10
True;0101;2637;169;1.2805001460947096e-05;7
False;0111;2560;311;2.7090005460195243e-05;14
True;0011;3083;194;2.353399759158492e-05;11
True;1001;4388;320;1.4553996152244508e-05;7
False;0011;4346;296;2.183800097554922e-05;10
True;1011;4628;396;2.6264999178238213e-05;15
True;0000;0;0;4.604000423569232e-06;1
True;1110;3575;583;2.6291003450751305e-05;15
True;0101;2564;66;8.562004950363189e-06;4
False;1110;4668;423;2.1961001039016992e-05;13
True;1011;5103;245;1.7449994629714638e-05;9
True;0011;2215;468;2.3911001335363835e-05;13
False;0101;3130;27;8.661001629661769e-06;4
True;1010;1442;201;1.6348996723536402e-05;8
True;1101;4826;151;2.2743006411474198e-05;12
False;0101;3366;143;1.7398000636603683e-05;9
False;1001;2311;179;1.5057004929985851e-05;7
True;1100;2207;251;2.2168998839333653e-05;10
True;0101;3260;107;1.3174998457543552e-05;5
True;0011;2384;134;8.502000127919018e-06;4
True;0000;0;0;4.597000952344388e-06;1
False;0010;348;24;6.5450003603473306e-06;2
True;0010;2164;226;1.4525001461151987e-05;5
True;0111;5608;212;2.3729997337795794e-05;12
True;1101;3533;248;2.1061998268123716e-05;11
False;1100;3362;290;2.0348001271486282e-05;11
False;1001;3610;133;1.2135998986195773e-05;5
True;1110;3383;333;2.279899490531534e-05;12
False;0100;1499;1;7.376998837571591e-06;2
False;0101;3491;268;1.9230996258556843e-05;10
True;1101;6871;435;2.612300158943981e-05;15
False;0011;2637;278;1.675100065767765e-05;8
False;0111;3842;398;2.595400292193517e-05;14
True;0000;0;0;4.421999619808048e-06;1
True;1011;4059;260;2.568499621702358e-05;14
True;0010;2463;60;9.518997103441507e-06;3
True;1101;1622;176;2.1553001715801656e-05;12
True;1100;804;17;1.2757998774759471e-05;4
True;0101;3824;209;1.8525999621488154e-05;8
True;0000;0;0;4.898996849078685e-06;1
False;1101;6366;444;2.5800000003073364e-05;14
False;1000;2024;39;1.0133000614587218e-05;3
False;1100;2882;63;1.3254997611511499e-05;4
False;1011;3214;393;2.633099938975647e-05;14
True;0110;4021;267;1.830399560276419e-05;8
True;0001;2385;165;7.939001079648733e-06;3
True;1101;2628;150;1.7348000255879015e-05;9
True;1011;5235;347;2.3694999981671572e-05;13
True;1101;4102;336;2.625000342959538e-05;15
True;1010;3640;431;2.184100594604388e-05;11
True;0111;3100;515;2.6544999855104834e-05;15
True;0110;4230;389;2.02309965970926e-05;11
False;1011;4939;285;2.2328000341076404e-05;12
True;0000;0;0;4.7579960664734244e-06;1
False;0010;396;19;6.4589985413476825e-06;2
True;1100;4642;265;1.9871004042215645e-05;10
True;0011;3071;244;1.806399814086035e-05;8
True;0101;3785;244;1.7263999325223267e-05;8
False;1100;2984;206;1.9881998014170676e-05;9
True;0100;1839;114;8.84899782249704e-06;3
False;0111;3686;226;2.0958999812137336e-05;12
False;1000;2376;228;1.566599530633539e-05;7
True;1001;3811;292;2.1908999769948423e-05;11
False;1001;1980;70;1.159900421043858e-05;5
True;1000;1800;26;9.68800304690376e-06;3
True;1000;1360;119;9.027993655763566e-06;3
True;0110;2298;52;1.0691997886169702e-05;4
True;0010;2400;14;1.1383999662939459e-05;3
False;1011;1800;463;2.7238995244260877e-05;15
True;0111;5135;454;2.6788999093696475e-05;15
False;0111;4896;192;2.6529000024311244e-05;15
True;1100;3688;177;1.3236000086180866e-05;4
True;1110;3829;347;2.7119000151287764e-05;14
True;0000;0;0;4.683999577537179e-06;1
True;0011;4611;162;1.4003999240230769e-05;6
True;1100;2549;247;1.8234000890515745e-05;8
False;0001;1425;48;5.670997779816389e-06;2
True;1110;5241;257;2.3505999706685543e-05;12
False;0111;6565;421;2.637799479998648e-05;15
